"Error in Buy X configuration - Product Y is not unique across all extension settings.","Error in Buy X configuration - Product Y is not unique across all extension settings."
"A BuyXGetYFree Extension cart error was detected!","A BuyXGetYFree Extension cart error was detected!"
"Error in Spend X configuration - Product Y is not unique across all extension settings.","Error in Spend X configuration - Product Y is not unique across all extension settings."
"Error in Coupon X configuration - Product Y is not unique across all extension settings.","Error in Coupon X configuration - Product Y is not unique across all extension settings."
"Error in Spend X configuration - Product Y is not unique across all extension settings.","Error in Spend X configuration - Product Y is not unique across all extension settings."
"Error in Category X configuration - Product Y is not unique across all extension settings.","Error in Category X configuration - Product Y is not unique across all extension settings."
"Your","Votre"
"has been added to your cart.","has been added to your cart."
"has been removed from your cart.","has been removed from your cart."
"is out of stock and cannot be added to the cart!","est en rupture de stock et ne peut être ajouté au panier!"
"Buy one more","Acheter un de plus"
"to qualify for a ","de se qualifier pour "
"excluded from our offers.","excluded from our offers."
"You have reached your","Vous avez atteint votre"
"limit of","cadeau"
"Buy one more to qualify for the","Buy one more to qualify for the"
"Cart total does not qualify for this Coupon offer.","Cart total does not qualify for this Coupon offer."
"Your %1$s has been added to your cart.","Your %1$s has been added to your cart."
"Your %1$s has been removed from your cart.","Your %1$s has been removed from your cart."
"You have reached your %1$s limit of %2$s.","You have reached your %1$s limit of %2$s."
"Buy one more %1$s to qualify for a %2$s !","Buy one more %1$s to qualify for a %2$s !"
"Buy one more to qualify for the %1$s offer!","Buy one more to qualify for the %1$s offer!"
